,site2,site3,site6,site8,site9,site10,site11,site12
42,0.6590909090909091,0.537779237844941,0.5791411042944785,0.6187462922681433,0.9128665875572131,0.9169802285010604,0.8718338399189463,0.99
43,0.8026315789473685,0.6444494437172775,0.540625,0.5973372781065088,0.91671469740634,0.8727402643801357,0.9779353821907012,0.98
44,0.5694444444444444,0.6348115208877284,0.6251572327044025,0.6062830299471521,0.8694827847717276,0.840737581206116,0.7127659574468085,0.96
45,0.6891891891891891,0.6097009452411996,0.7118012422360249,0.5485725614591594,0.9498879282740956,0.8898014818957082,0.9621749408983452,1.0
46,0.7094594594594594,0.6187825097529258,0.8345911949685534,0.5319191118160191,0.8835128166236917,0.8061093247588424,0.9698581560283688,1.0
47,0.6710526315789473,0.6519942434210526,0.64625,0.5545685279187818,0.9562319884726224,0.809807073954984,0.9190844616376532,1.0
48,0.5277777777777778,0.6060413939790577,0.5631901840490797,0.6804052724768838,0.898014729426833,0.852347266881029,0.9349881796690308,1.0
49,0.7051282051282051,0.5299770039421813,0.56125,0.4926224670470195,0.8976224783861672,0.8752813504823151,0.9303444782168186,0.98
50,0.8866666666666667,0.5913130733944955,0.4936708860759494,0.6148965247950019,0.922574447646494,0.8814147909967845,0.9660587639311043,0.3399999999999999
51,0.577922077922078,0.6783172447643979,0.8124223602484472,0.535685963521015,0.8598302913864873,0.8796556806002144,0.9653270291568165,1.0
52,0.7866666666666666,0.6735702614379084,0.39375,0.5870808678500986,0.8703170028818443,0.9096183419544248,0.9632495164410058,0.945
53,0.9121621621621622,0.5268208661417322,0.53125,0.52616165560328,0.9752161383285304,0.8786977491961415,0.8961499493414387,0.98
54,0.5958904109589042,0.6201938808900525,0.5643750000000001,0.5611665688001566,0.8992871227059003,0.8551523503291991,0.8989361702127661,0.18
55,0.4527027027027027,0.7289072739187418,0.410062893081761,0.5341663412729403,0.888778818443804,0.902618282039504,0.9807497467071936,0.98
56,0.8493150684931507,0.6231713263979194,0.4949367088607596,0.5702169625246549,0.8115093659942363,0.8921082063469873,0.8020631850419085,0.96
57,0.8684210526315789,0.6184113903394257,0.6770186335403727,0.5671834625322998,0.9820365033621518,0.9191064477915044,0.9657210401891252,0.93
58,0.5068493150684932,0.7030436197916666,0.4583850931677019,0.7551546391752577,0.9750805221223936,0.9022657593658864,0.951063829787234,0.97
59,0.7397260273972603,0.6675131061598951,0.5444444444444444,0.7248822605965463,0.9202346644709756,0.8243483614968872,0.917075831969449,1.0
60,0.5472972972972973,0.6849844568062827,0.7763975155279503,0.5406256147944127,0.94164265129683,0.8793862714944778,0.6335697399527186,1.0
61,0.7922077922077922,0.62002375491481,0.7847133757961784,0.6450381679389313,0.9628393750947974,0.9045600701549256,0.9732430689877498,0.98
62,0.7739726027397261,0.702880221932115,0.5471698113207547,0.6520800627943486,0.8921928215876342,0.8702893890675241,0.9613869188337274,1.0
63,0.54,0.7013843381389252,0.6301886792452831,0.6638285378743395,0.9598943323727184,0.874959807073955,0.954294720252167,0.96
64,0.668918918918919,0.5913949868938402,0.6333333333333334,0.7520165256738147,0.957222622478386,0.787491961414791,0.8156028368794326,1.0
65,0.8092105263157895,0.6711814621409922,0.3664556962025316,0.7045364891518737,0.9588536663464616,0.9304470984535294,0.9802994483845549,1.0
66,0.5714285714285714,0.6899382314694409,0.5452229299363057,0.7488570860663883,0.8536983669548512,0.8727224008574491,0.9497098646034816,0.98
67,0.5472972972972973,0.60101318359375,0.5197452229299363,0.6002360810544953,0.8530259365994236,0.9000918695452458,0.9527186761229314,1.0
68,0.8013698630136986,0.5253702799479167,0.6211180124223603,0.67753766851705,0.8691035947216745,0.906293063849334,0.7692307692307693,0.98
69,0.8445945945945946,0.5695036041939712,0.6651898734177215,0.6831548198636808,0.9657780979827087,0.8829162589123445,0.7932624113475178,0.995
70,0.7808219178082192,0.684428243774574,0.3849056603773584,0.7476144109055503,0.8685158501440923,0.8936012861736334,0.7388781431334623,1.0
71,0.6756756756756757,0.703515111695138,0.8362499999999999,0.5960077896786757,0.9655873876928294,0.9194492538543986,0.9547872340425532,0.99
72,0.78,0.5681225554106909,0.4772151898734177,0.6212031558185405,0.8306573349801016,0.9072655127591162,0.9414893617021276,0.9533333333333334
73,0.6780821917808219,0.7454020182291666,0.475,0.6506822226616572,0.9297338531954568,0.9031247423530382,0.8052869116698904,0.94
74,0.701388888888889,0.6573325163398693,0.6402439024390244,0.6985366818271703,0.8666117743927543,0.8596751587105285,0.9440504334121356,0.99
