,site10_(1-4/5-3),site10_(1-4),site10_(custom/0),site10_(1-4/5-4),site10_(custom/5-4),site10_(custom1/5-4),site10_(10/custom/5-4),site10_personal(custom/5-4),site10_personal(1-4/5-4),site10_personal(1-4/custom)
42,0.6616486407483192,0.7461268634902076,0.7385267465653318,0.7056416252557731,0.6981876644256065,0.7661502484653611,0.69760304004677,0.6997953814674072,0.7079801227711197,0.7087109032446652
43,0.6620871090324467,0.6610640163694826,0.6613563285589009,0.6695410698626133,0.6669102601578486,0.6493715287927507,0.6655948553054662,0.6786027477345805,0.6753873136509794,0.6755334697456884
44,0.6612101724641918,0.6756796258403975,0.6731949722303421,0.6962876351943876,0.6924875767319496,0.6520023384975154,0.6902952353113124,0.6951183864367144,0.7011107863197896,0.7019877228880445
45,0.6515638702133879,0.6997953814674072,0.6968722595732242,0.7130955860859398,0.7053493130663548,0.7442268342589886,0.7049108447822274,0.7204033908213973,0.7268342589885999,0.7258111663256359
46,0.6986261327097341,0.7306343174510377,0.7405729318912598,0.7478807366267174,0.7508038585209004,0.7322420344928384,0.7500730780473546,0.753434668225665,0.7518269511838644,0.7515346389944462
47,0.5237503653902368,0.6216749488453669,0.6153902367728734,0.6222595732242036,0.6136363636363636,0.6174364220988016,0.6131978953522362,0.6409675533469745,0.6465214849459222,0.6460830166617948
48,0.6831335866705641,0.6815258696287635,0.6783104355451622,0.6914644840689858,0.6891259865536392,0.6327097339959077,0.6932183572054954,0.7037415960245542,0.7034492838351358,0.7034492838351359
49,0.6910990938322128,0.71565331774335,0.709807073954984,0.7504384682841276,0.7384536685179771,0.7103916983338205,0.733338205203157,0.7397690733703596,0.751900029231219,0.749853843905291
50,0.6813066354866998,0.6105670856474715,0.6035515931014322,0.6525138848289974,0.6549985384390529,0.6206518561824029,0.6532446653025431,0.6934375913475592,0.6877375036539024,0.6881759719380298
51,0.6083747442268344,0.6767757965507162,0.6813066354866999,0.6373136509792459,0.6373136509792459,0.6691756796258405,0.6383367436422099,0.6509061677871968,0.6491522946506869,0.6500292312189417
52,0.7074685764396375,0.7874159602455423,0.785077462730196,0.7825928091201404,0.7796696872259574,0.7459076293481438,0.7799619994153757,0.7881467407190881,0.7859543992984508,0.7859543992984508
53,0.7531423560362467,0.7581116632563578,0.7578193510669395,0.7603040046769951,0.7600116924875767,0.769073370359544,0.7538731365097926,0.7654194679918152,0.7679041216018708,0.7671733411283251
54,0.7071031862028646,0.6426483484361297,0.6451330020461853,0.6787489038292898,0.6788950599239988,0.610494007600117,0.6797719964922536,0.6712949429991231,0.6767027185033615,0.6750950014615609
55,0.6038439052908506,0.6618678748903829,0.6538292896813797,0.6680064308681672,0.6587985969014908,0.6633294358374744,0.6605524700380005,0.659967845659164,0.6656679333528208,0.6652294650686933
56,0.5153463899444607,0.6503946214557148,0.6467407190879859,0.7233265127155803,0.7098801520023386,0.6167787196726103,0.71134171294943,0.7255188541362174,0.7334112832505115,0.732826658871675
57,0.7370651856182403,0.7021338789827536,0.701549254603917,0.7253726980415083,0.7259573224203449,0.6857643963753288,0.7268342589885999,0.7358959368605671,0.7377959660917861,0.7376498099970769
58,0.6963607132417422,0.7780619701841567,0.780254311604794,0.7387459807073955,0.7380152002338498,0.7459076293481438,0.7380152002338498,0.7412306343174511,0.742253726980415,0.7429845074539608
59,0.5257965507161648,0.7347997661502484,0.7264688687518269,0.6826220403390821,0.684522069570301,0.7152148494592225,0.6817451037708273,0.6989915229465069,0.6981145863782521,0.697091493715288
60,0.677506577024262,0.7286612101724642,0.7289535223618826,0.7289535223618825,0.7267611809412453,0.7269073370359544,0.7214995615317159,0.725445776088863,0.7290996784565916,0.7290996784565916
61,0.6862759427068108,0.7473691902952353,0.7426921952645427,0.7410844782227418,0.7318766442560656,0.7536539023677288,0.7288073662671732,0.7440076001169249,0.7488307512423268,0.7494153756211633
62,0.5756357790119848,0.7383075124232681,0.7358228588132125,0.7292458345513009,0.7244226834258989,0.7780619701841567,0.723545746857644,0.7252996199941537,0.7324612686349021,0.7292458345513009
63,0.555320081847413,0.6266442560654779,0.6156825489622918,0.6288365974861152,0.6210903244665302,0.6302981584332067,0.6212364805612394,0.6264980999707688,0.6338059047062263,0.6340982168956445
64,0.6122478807366267,0.5836012861736335,0.580239695995323,0.6033323589593687,0.6009938614440222,0.5543700672318035,0.6002630809704764,0.6053785442852968,0.6115171002630808,0.6110786319789535
65,0.6283981292019877,0.8198626132709734,0.8157702426191172,0.7757234726688103,0.7622771119555686,0.789169833382052,0.764761765565624,0.7739695995323005,0.7837620578778135,0.7833235895936861
66,0.6912452499269219,0.6687372113417129,0.6633294358374745,0.6861297866121017,0.67955276235019,0.7247149956153172,0.680575855013154,0.6811604793919906,0.689199064600994,0.6889067524115756
