,site12_(1-4/5-3),site12_(1-4),site12_(custom/0),site12_(1-4/5-4),site12_(custom/5-4),site12_(custom1/5-4),site12_(10/custom/5-4),site12_personal(custom/5-4),site12_personal(1-4/5-4),site12_personal(1-4/custom)
42,1.0,0.2199999999999999,0.28,0.92,0.94,0.3199999999999999,0.94,0.98,0.94,0.94
43,0.98,0.96,0.96,0.98,0.98,0.98,0.98,0.98,0.96,0.98
44,0.92,0.94,0.92,0.98,0.98,0.98,0.98,0.94,0.96,0.96
45,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
46,0.86,0.3,0.4,0.88,0.88,0.26,0.88,0.8,0.88,0.88
47,0.9,0.98,0.98,0.96,0.96,0.96,0.96,0.92,0.94,0.94
48,0.54,0.88,0.88,0.9,0.9,0.8200000000000001,0.9,0.86,0.92,0.9
49,0.7,0.16,0.0999999999999999,0.38,0.36,0.0799999999999999,0.38,0.42,0.38,0.38
50,0.04,0.02,0.02,0.02,0.02,0.04,0.02,0.02,0.02,0.02
51,0.74,0.54,0.54,0.92,0.92,0.18,0.92,0.8200000000000001,0.92,0.88
52,0.9,0.42,0.42,0.7,0.74,0.24,0.74,0.74,0.56,0.5800000000000001
53,0.16,0.26,0.28,0.16,0.16,0.28,0.14,0.1999999999999999,0.14,0.16
54,0.98,0.72,0.8,0.92,0.96,0.8,0.96,0.96,0.9,0.96
55,0.28,0.0999999999999999,0.06,0.16,0.14,0.0999999999999999,0.14,0.0999999999999999,0.12,0.12
56,0.42,0.02,0.02,0.0799999999999999,0.06,0.02,0.0799999999999999,0.14,0.0799999999999999,0.0799999999999999
57,1.0,0.96,0.98,0.98,0.98,0.84,0.98,0.96,0.98,0.98
58,1.0,0.9,0.96,0.98,0.98,0.88,0.98,0.98,0.98,0.98
59,0.0,0.0999999999999999,0.0799999999999999,0.02,0.0,0.14,0.0,0.0,0.02,0.0
60,0.84,0.98,0.98,0.96,0.96,0.96,0.96,0.98,0.96,0.96
61,0.3199999999999999,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.04,0.04
62,0.24,0.12,0.0799999999999999,0.14,0.12,0.12,0.12,0.0,0.16,0.0999999999999999
63,0.92,0.98,0.98,0.96,0.96,0.86,0.96,0.94,0.96,0.96
64,0.12,0.04,0.06,0.06,0.0999999999999999,0.06,0.0799999999999999,0.0999999999999999,0.0,0.0
65,0.8,0.92,0.92,0.94,0.94,0.98,0.94,0.8200000000000001,0.96,0.94
66,0.96,0.14,0.16,0.52,0.6,0.06,0.5800000000000001,0.54,0.6599999999999999,0.62
67,0.72,0.12,0.12,0.1999999999999999,0.24,0.04,0.24,0.2199999999999999,0.36,0.28
68,0.92,0.16,0.16,0.6799999999999999,0.74,0.12,0.8,0.7999999999999999,0.8,0.8200000000000001
69,0.94,0.92,0.92,0.98,0.98,0.96,0.98,0.96,0.92,0.94
70,0.48,0.04,0.04,0.0999999999999999,0.0999999999999999,0.06,0.12,0.18,0.12,0.12
71,0.88,0.26,0.3,0.5800000000000001,0.72,0.04,0.72,0.8,0.6,0.6599999999999999
72,1.0,0.98,1.0,0.98,1.0,0.92,1.0,1.0,1.0,1.0
73,1.0,0.96,0.96,0.98,0.98,0.92,0.98,0.98,0.98,0.98
74,1.0,0.5800000000000001,0.78,0.92,0.98,0.88,0.98,0.96,0.94,0.94
75,1.0,0.94,0.94,1.0,1.0,0.98,1.0,1.0,1.0,1.0
76,0.74,0.88,0.88,0.94,0.94,0.8,0.94,0.94,0.92,0.92
77,1.0,0.96,0.96,0.98,0.98,0.94,0.98,0.98,0.98,0.98
78,0.74,0.6799999999999999,0.76,0.6799999999999999,0.78,0.5,0.76,0.64,0.62,0.6
79,0.86,0.36,0.4599999999999999,0.64,0.6799999999999999,0.78,0.6599999999999999,0.7,0.74,0.7
80,0.88,0.18,0.14,0.72,0.76,0.28,0.78,0.92,0.64,0.8200000000000001
81,1.0,0.94,0.94,0.98,0.98,0.76,0.98,0.98,0.98,0.98
82,0.86,0.9,0.9,0.94,0.96,1.0,0.94,0.88,0.94,0.92
83,0.8200000000000001,0.88,0.94,0.96,0.96,0.9,0.96,0.0,0.94,0.6200000000000001
84,0.92,0.16,0.1999999999999999,0.8200000000000001,0.8200000000000001,0.12,0.8200000000000001,0.86,0.8,0.8200000000000001
85,0.56,0.02,0.02,0.0799999999999999,0.0799999999999999,0.02,0.0999999999999999,0.16,0.06,0.06
86,0.92,0.94,0.94,0.94,0.94,0.98,0.94,0.9,0.94,0.94
87,0.94,0.0999999999999999,0.0999999999999999,0.6,0.64,0.04,0.6599999999999999,0.56,0.6,0.5800000000000001
88,0.92,0.0799999999999999,0.0799999999999999,0.42,0.42,0.0999999999999999,0.42,0.76,0.4,0.6
89,0.6599999999999999,0.06,0.06,0.4399999999999999,0.4399999999999999,0.04,0.4599999999999999,0.4399999999999999,0.3199999999999999,0.4399999999999999
90,1.0,0.94,0.94,1.0,1.0,0.8200000000000001,1.0,1.0,1.0,1.0
91,0.98,0.76,0.88,0.98,0.98,0.38,0.98,0.98,0.98,0.98
