,site8
42,0.6780738946093277
43,0.7069452856854433
44,0.8169796083181909
45,0.8068847163335353
46,0.7448011306279022
47,0.6945285685443165
48,0.7891177064405411
49,0.6878659398344438
50,0.7060367454068242
51,0.6227538865334141
52,0.7011911972541893
53,0.6745406824146982
54,0.6737330910559257
55,0.6775691500100949
56,0.7630728851201293
57,0.6919038966283062
58,0.6998788612961842
59,0.745810619826368
60,0.6229557843731073
61,0.7112860892388451
62,0.7017968907732688
63,0.6662628709872804
64,0.6824146981627296
65,0.7436906925095901
66,0.7320815667272359
67,0.6888754290329093
68,0.6414294367050273
69,0.6563698768423177
70,0.8102160306884717
71,0.8029477084595195
72,0.7265293761356754
73,0.7213809812235009
74,0.7060367454068242
75,0.7243084998990512
76,0.7141126589945488
77,0.5220068645265495
78,0.6511205330102968
79,0.5974157076519282
80,0.5855037351100342
81,0.7804360993337371
82,0.7884110640016152
83,0.7506561679790027
84,0.77155259438724
85,0.7717544922269332
86,0.7266303250555219
87,0.7819503331314356
88,0.6622249141934182
89,0.5877246113466585
90,0.7453058752271351
91,0.806077124974763
92,0.832727639814254
93,0.6975570361397133
94,0.7627700383605895
95,0.7369271148798708
96,0.866949323642237
97,0.8013325257419747
98,0.6260852008883505
99,0.781142741772663
100,0.7011911972541893
101,0.8194023823945085
102,0.6680799515445185
