,site2,site3,site6,site8,site9,site10,site11,site12
42,0.9027777777777778,0.7848202284946236,0.8102564102564103,0.7250151423379769,0.8072366314441242,0.7584039754457761,0.6595744680851063,0.94
43,0.6180555555555556,0.7468497983870969,0.8846153846153846,0.7761962447001818,0.6926032660902979,0.6376790412160187,0.8595744680851064,0.98
44,0.5902777777777778,0.7797379032258065,0.8423076923076923,0.5900464365031294,0.6301633045148896,0.7771119555685473,0.7404255319148936,0.96
45,0.2638888888888889,0.7728074596774194,0.6743589743589744,0.646274984857662,0.6458533461415306,0.7557731657410114,0.6851063829787234,0.46
46,0.5763888888888888,0.7761886760752688,0.8480769230769231,0.6856450635978195,0.6919628562279859,0.7756503946214557,0.7063829787234043,0.96
47,0.2361111111111111,0.7388062836021505,0.6923076923076923,0.7305673329295377,0.6799551713096382,0.6310289389067523,0.577304964539007,0.96
48,0.6944444444444444,0.7531502016129032,0.9,0.7157278417120937,0.8267691322446366,0.6689564454837766,0.8014184397163121,0.96
49,0.6736111111111112,0.7490339381720429,0.7974358974358975,0.6908944074298404,0.7146974063400577,0.7793773750365391,0.5347517730496454,0.68
50,0.6319444444444444,0.7104124663978495,0.6346153846153846,0.7763981425398748,0.7483189241114314,0.7207687810581702,0.7489361702127659,0.84
51,0.7222222222222222,0.7769027217741936,0.791025641025641,0.6596002422774075,0.7220621197566442,0.6900760011692488,0.7347517730496453,0.8
52,0.4722222222222222,0.7612987231182796,0.6794871794871794,0.68211185140319,0.834454050592379,0.7719234142063724,0.7432624113475177,0.96
53,0.7569444444444444,0.727381552419355,0.6935897435897436,0.6143751261861498,0.7790585975024015,0.7508038585209003,0.6553191489361702,0.94
54,0.4861111111111111,0.7376302083333333,0.816025641025641,0.7878053704825358,0.6657060518731989,0.7081262788658288,0.8964539007092199,0.9
55,0.3819444444444444,0.7973580309139785,0.6333333333333333,0.6878659398344438,0.7652897854626961,0.7087839812920199,0.6609929078014184,0.72
56,0.6736111111111112,0.6927293346774194,0.6115384615384615,0.6931152836664647,0.6338456612231829,0.7008184741303712,0.5092198581560283,0.62
57,0.375,0.8054015456989247,0.7538461538461538,0.7020997375328084,0.7300672430355428,0.7056416252557732,0.6879432624113475,0.96
58,0.6111111111111112,0.7532132056451611,0.6346153846153846,0.7395517867958812,0.750560358629523,0.7646156094709149,0.6113475177304964,1.0
59,0.7013888888888888,0.8381426411290323,0.7871794871794872,0.7676155865132243,0.7146974063400576,0.7963314820228004,0.8893617021276596,0.92
60,0.5833333333333334,0.8158392137096775,0.6858974358974359,0.7787199676963455,0.627601665065642,0.7777696579947384,0.5134751773049645,0.98
