,site12
42,0.96
43,1.0
44,0.98
45,0.12
46,0.98
47,0.98
48,0.96
49,0.52
50,0.56
51,0.96
52,0.96
53,0.94
54,0.98
55,0.54
56,0.18
57,1.0
58,1.0
59,0.92
60,0.98
61,0.14
62,0.38
63,1.0
64,0.96
65,1.0
66,0.1999999999999999
67,0.26
68,0.5
69,0.96
70,0.3399999999999999
71,0.96
72,0.98
73,1.0
74,0.92
75,1.0
76,0.98
77,0.98
78,0.96
79,0.88
80,0.96
81,0.98
82,1.0
83,0.98
84,0.7
85,0.52
86,0.94
87,0.3199999999999999
88,0.4399999999999999
89,0.06
90,1.0
91,0.98
92,1.0
93,0.92
94,0.96
95,1.0
96,1.0
97,1.0
98,0.28
99,0.4
100,0.98
101,1.0
102,0.6599999999999999
