,site6
42,0.8192307692307693
43,0.8756410256410256
44,0.8397435897435898
45,0.7025641025641025
46,0.8224358974358974
47,0.582051282051282
48,0.914102564102564
49,0.8025641025641025
50,0.7217948717948718
51,0.7628205128205129
52,0.6756410256410257
53,0.7346153846153847
54,0.8506410256410255
55,0.6012820512820513
56,0.7730769230769231
57,0.6551282051282051
58,0.7320512820512821
59,0.7692307692307693
60,0.6897435897435897
61,0.5435897435897435
62,0.7538461538461538
63,0.6166666666666666
64,0.7910256410256409
65,0.5096153846153846
66,0.8846153846153846
67,0.5743589743589743
68,0.7935897435897435
69,0.7410256410256411
70,0.6538461538461539
71,0.7948717948717948
72,0.8166666666666667
73,0.6551282051282051
74,0.7358974358974358
75,0.7275641025641025
76,0.8192307692307692
77,0.8807692307692309
78,0.7371794871794872
79,0.7628205128205128
80,0.8538461538461538
81,0.7397435897435898
82,0.708974358974359
83,0.6128205128205129
84,0.7128205128205128
85,0.5679487179487179
86,0.8397435897435898
87,0.7641025641025642
88,0.6397435897435897
89,0.6602564102564104
90,0.558974358974359
91,0.7743589743589744
92,0.6128205128205129
93,0.6076923076923078
94,0.7435897435897436
95,0.4756410256410256
96,0.8397435897435898
97,0.6525641025641026
98,0.7192307692307692
99,0.5307692307692308
100,0.8179487179487179
101,0.6858974358974359
102,0.7961538461538462
