,site2,site3,site6,site8
42,0.3397435897435897,0.7429237239968172,0.6114864864864864,0.585703662390779
43,0.624031007751938,0.7709309309309308,0.7279843444227007,0.6719074844074844
44,0.6906666666666667,0.7449699699699701,0.6655540720961282,0.732312925170068
45,0.663888888888889,0.7182835820895522,0.576923076923077,0.8118169398907104
46,0.571969696969697,0.6984149054505006,0.6056721056721057,0.8527607361963191
47,0.3771289537712896,0.7581541882876204,0.6843891402714932,0.8305144467935166
49,0.7130434782608696,0.7702048043834151,0.6636225266362252,0.8289473684210527
50,0.762,0.6812303046218487,0.6878048780487804,0.705707097457627
51,0.7032520325203252,0.8117660234872484,0.615257048092869,0.7167214711971746
52,0.5149253731343284,0.7420646595403877,0.6594982078853047,0.4590919701213819
53,0.15625,0.8287275817606379,0.6611238532110091,0.6450980392156863
54,0.4896755162241888,0.7543875411799941,0.7063348416289592,0.7499174645097392
55,0.635593220338983,0.7724456596981865,0.7228855721393035,0.686721774615465
56,0.640625,0.7481108722558791,0.6058794220229198,0.6889375
57,0.9509803921568628,0.7663726884779517,0.4320851688693098,0.5812383900928793
58,0.3942307692307693,0.7687632795900513,0.6927966101694915,0.7358353069775916
59,0.6707317073170732,0.6973754846406203,0.6167907921462423,0.6150369238604533
61,0.6435643564356436,0.802186749724223,0.5881642512077295,0.6740234375
62,0.9695652173913044,0.7741135792804253,0.7396288209606986,0.6953106953106953
63,0.9557522123893804,0.7956804400825154,0.6369598765432098,0.503697259678121
64,0.9541284403669724,0.8055571108622619,0.6867501304121022,0.642869241192412
66,0.9226190476190476,0.7454978639500492,0.6328267477203647,0.5546875
67,0.8294573643410853,0.7944403176961315,0.8002086593635889,0.6647483417869684
68,0.5858695652173913,0.6990267639902676,0.6384345794392523,0.8204201490851593
69,0.71,0.7751038992788168,0.6031746031746033,0.5683823529411764
70,0.717741935483871,0.783881618805283,0.7503576537911302,0.7398148148148148
71,0.4671916010498688,0.8142263097189341,0.6083333333333333,0.5225931677018634
72,0.2621359223300971,0.7891460609545716,0.6108695652173913,0.646916146916147
73,0.5491803278688525,0.6952024647887325,0.7044392523364487,0.8571504518872941
74,0.628930817610063,0.7622893578260211,0.5634580012262416,0.5416666666666667
75,0.3759398496240601,0.8443151853575306,0.75764192139738,0.7223637650389243
76,0.6805555555555556,0.7702066676723488,0.6404914529914529,0.7017892644135189
77,0.8145833333333332,0.7291948808234021,0.6357638888888889,0.7804223935635266
78,0.9137931034482758,0.7832192896709025,0.6588835212023617,0.6117764471057884
79,0.7170868347338936,0.7598648877833682,0.6990088680229525,0.521662655063877
80,0.61,0.7720762901504459,0.5870206489675516,0.7197961373390558
81,0.7980769230769231,0.7723805288543769,0.6718528995756718,0.7195662423385196
82,0.7013333333333334,0.7573665973665974,0.6311881188118812,0.8255865427180169
83,0.6587301587301587,0.7945391395715371,0.8191489361702128,0.6388294075660242
84,0.9809523809523808,0.7920529801324503,0.6856540084388185,0.6584321475625823
85,0.6551724137931034,0.7884473877851362,0.7666666666666666,0.6991706795077582
86,0.7590909090909091,0.8290529142424348,0.7332644628099174,0.8090157154673283
87,0.6638418079096046,0.7596758021390374,0.6901808785529715,0.6291454853546357
88,0.6584699453551913,0.7438080495356038,0.6767610269914418,0.7110354434298096
89,0.6437308868501529,0.7782756879575865,0.7185840707964603,0.6761421971252567
90,0.498,0.7607798518975625,0.7089616544592847,0.6825316169828365
91,0.6488095238095238,0.7465019482819696,0.6106194690265486,0.8106578947368421
92,0.6222222222222222,0.7507024938531788,0.6931702344546382,0.7215129269071177
93,0.5,0.771306041552761,0.7119815668202765,0.7500225042758124
94,0.9583333333333334,0.8167071380167156,0.9080528846153846,0.6261922690763053
95,0.3705357142857143,0.7827646038172353,0.5860805860805861,0.5986613119143239
96,0.5615942028985508,0.747653075521928,0.5280373831775702,0.5625350009333582
97,0.6810344827586208,0.7551820728291316,0.5902149321266968,0.709686038744155
98,0.8034188034188035,0.6813951478130582,0.5887537993920973,0.6792641625615763
99,0.967741935483871,0.7919975170059229,0.7007258514796203,0.6951844262295083
100,0.6606060606060606,0.7497270742358078,0.7390710382513661,0.5977151191054935
102,0.6214953271028038,0.8015103338632751,0.6514739229024944,0.6384346610761705
