,site2,site3,site6,site8,site9
42,0.7147239263803682,0.7813273676360926,0.7648746602234975,0.7904846335697401,0.7672943772328565
43,0.7661042944785276,0.8191946308724833,0.7662337662337663,0.6780437352245863,0.7738785819975871
44,0.7469325153374233,0.7801491424310216,0.7614013893083661,0.8180777186761229,0.7631577443823242
45,0.7737730061349694,0.7473005219985086,0.6790999697976442,0.7282801418439716,0.7742507988068239
46,0.8443251533742332,0.7549366144668159,0.6375717305949864,0.7798093971631206,0.7725351860979299
47,0.9493865030674848,0.7813870246085011,0.640289942615524,0.696660756501182,0.7652306553910668
48,0.7576687116564417,0.8348247576435496,0.8723950468136514,0.72975768321513,0.76478976582638
49,0.928680981595092,0.750917225950783,0.7644216248867411,0.7146867612293144,0.7720500171277185
50,0.7262269938650306,0.7922445935868754,0.7914527333131984,0.6965499408983451,0.7733772407283686
51,0.6840490797546013,0.7995078299776287,0.7574750830564785,0.6596483451536643,0.7674368172560049
52,0.7990797546012269,0.7918717375093214,0.7725762609483539,0.7145759456264775,0.7714615295446161
53,0.5889570552147239,0.8092841163310961,0.8619752340682574,0.6108525413711583,0.7752291038660905
54,0.6495398773006135,0.7310738255033558,0.7112654787073392,0.594562647754137,0.7767890879547067
55,0.7400306748466258,0.7671140939597316,0.7558139534883721,0.7327497044917257,0.7657014454575487
56,0.7239263803680981,0.8125801640566741,0.5750528541226215,0.5765735815602837,0.7756656289732434
57,0.7346625766871165,0.8021849366144668,0.6818181818181819,0.5910165484633569,0.7825419667191544
58,0.7691717791411044,0.7630126771066368,0.7727272727272727,0.7395833333333334,0.7696881949009932
59,0.7254601226993864,0.759082774049217,0.757777106614316,0.702275413711584,0.7640222243891093
60,0.7147239263803681,0.8318941088739746,0.5990637269707036,0.7663268321513004,0.7647942413791966
61,0.901073619631902,0.7486800894854586,0.7203261854424645,0.7105496453900708,0.7717106845221544
62,0.6771472392638037,0.8055779269202087,0.8248263364542434,0.6604979314420802,0.7589542163008648
63,0.906441717791411,0.8193363161819538,0.6929930534581697,0.7383274231678487,0.776732651551106
64,0.7707055214723926,0.7802982848620432,0.7591362126245846,0.6938164893617023,0.7626998572393877
65,0.6725460122699386,0.8002684563758389,0.8002114164904862,0.7443853427895981,0.7687225705747067
66,0.8174846625766872,0.7884265473527219,0.8308668076109937,0.7565750591016548,0.7633854103580416
67,0.8282208588957055,0.7822669649515288,0.7263666565992148,0.7423537234042553,0.7645126624498707
68,0.8803680981595092,0.7892617449664431,0.8154636061612806,0.5979979314420804,0.7684794782254516
69,0.6549079754601227,0.7630126771066369,0.7231954092419209,0.7470079787234043,0.7675255506453557
70,0.8934049079754601,0.8552647278150634,0.6954092419208698,0.7441637115839244,0.7696547393501523
71,0.7745398773006136,0.7525876211782252,0.7839021443672607,0.7542479314420805,0.7783842416356679
72,0.6802147239263804,0.7916703952274422,0.7713681667170039,0.6863179669030732,0.7668624863860667
73,0.7116564417177914,0.7540790454884415,0.7074901842343704,0.6640070921985816,0.772438755392565
74,0.5874233128834355,0.8200372856077554,0.7553609181516159,0.7074468085106382,0.7668704535049102
75,0.9647239263803682,0.7736092468307234,0.7000906070673513,0.7475251182033097,0.7658441076712625
76,0.8995398773006135,0.7982401193139448,0.7769556025369978,0.6891252955082742,0.7751560825238614
77,0.7208588957055214,0.7728784489187174,0.7056780428873451,0.6515588061465721,0.7639000830611817
78,0.821319018404908,0.7439895600298285,0.5889459377831471,0.6324615839243499,0.7805454416526305
79,0.5276073619631901,0.7982475764354959,0.7136816671700391,0.7559471040189125,0.7779203553474667
80,0.6004601226993865,0.7822222222222223,0.7594382361824222,0.7442375886524824,0.7738801849438086
81,0.7944785276073619,0.7662043251304995,0.7378435517970401,0.7314199172576832,0.7693697482085727
82,0.5690184049079755,0.7822595078299777,0.864693446088795,0.7041223404255319,0.7816801847406629
83,0.625,0.832580164056674,0.6649048625792812,0.7414302600472814,0.7754623722182058
84,0.7101226993865031,0.7538329604772558,0.7141347025067956,0.5433289007092199,0.7697600576781314
85,0.8113496932515337,0.7661222967934377,0.7836001208094231,0.8231013593380614,0.768226498396038
86,0.5651840490797546,0.7634451901565995,0.6772878284506191,0.6539228723404256,0.7749670142234972
87,0.6510736196319019,0.8002237136465324,0.5931742675928723,0.7546542553191489,0.7673509088609851
88,0.9562883435582824,0.8130275913497389,0.8023255813953488,0.6646719858156028,0.7638530104028353
89,0.8734662576687117,0.7733557046979866,0.7582301419510722,0.7905954491725768,0.7687807051490569
90,0.8987730061349694,0.7961968680089486,0.5998187858652975,0.7272828014184396,0.7718062740775219
91,0.7561349693251533,0.6970022371364654,0.7908486861975234,0.6492316784869976,0.769289680251271
92,0.6319018404907975,0.8184712900820283,0.6564482029598309,0.6937795508274232,0.7582777095123717
93,0.9187116564417176,0.8057568978374346,0.7363334340078527,0.5546320921985816,0.7670320971412073
94,0.8473926380368098,0.7910887397464579,0.6411960132890366,0.7930333924349882,0.7732932209531543
95,0.8251533742331288,0.7854735272184936,0.7000906070673513,0.8151595744680851,0.7648400602479241
96,0.6533742331288344,0.7622744220730797,0.8240712775596496,0.6277334515366431,0.7640047506882195
97,0.8259202453987731,0.7909097688292319,0.6842343702808819,0.7755984042553192,0.7644921415640845
98,0.6058282208588958,0.7864354958985831,0.7558139534883721,0.7676566193853428,0.7657782599101435
