,site2,site3,site6,site8
42,0.3398058252427184,0.7953790997211526,0.7691140776699029,0.8085467448318421
43,0.4805825242718446,0.8169399814101714,0.7020631067961165,0.722693613082382
44,0.6650485436893204,0.8100019917673615,0.8064320388349515,0.8120950323974083
45,0.6844660194174758,0.8236787943168238,0.835254854368932,0.734649799444616
46,0.7378640776699029,0.7705981941309256,0.7609223300970874,0.6546590558469608
47,0.7961165048543689,0.8123589164785554,0.8525485436893204,0.7258562172169083
48,0.3640776699029125,0.8289237817022971,0.7160194174757282,0.7308701018204258
49,0.5533980582524272,0.7669632186960561,0.6969053398058253,0.5900956494908979
50,0.8106796116504854,0.7736190412959767,0.7675970873786409,0.730561555075594
51,0.4660194174757281,0.8242265303412561,0.6331917475728155,0.740280777537797
52,0.6092233009708738,0.8230646660470058,0.8677184466019418,0.714748534402962
53,0.3179611650485436,0.7843745850484665,0.6984223300970874,0.7691298981795742
54,0.2961165048543689,0.7712953127074758,0.7026699029126213,0.7550910212897255
55,0.3203883495145631,0.8286748107821007,0.7418082524271845,0.7087318728787411
56,0.1771844660194174,0.8128236621962555,0.7439320388349514,0.6825053995680346
57,0.7451456310679612,0.7615356526357722,0.729368932038835,0.6123110151187905
58,0.5,0.8205085645996548,0.7378640776699029,0.673711817340327
59,0.645631067961165,0.7802914619572434,0.7572815533980582,0.7690527614933662
60,0.5825242718446602,0.7955616783959634,0.6644417475728155,0.8635452020981179
61,0.6067961165048543,0.7661831098127739,0.6201456310679612,0.6904504782474544
62,0.7572815533980582,0.7751294648785022,0.6134708737864077,0.6552761493366245
63,0.4077669902912621,0.8139855264905059,0.7609223300970874,0.5806078370873188
64,0.3810679611650485,0.8067653698048068,0.71875,0.6678494291885221
65,0.7135922330097088,0.7811379630859117,0.8161407766990291,0.7712897253933972
66,0.9805825242718448,0.7529710529810119,0.816747572815534,0.7188367787719839
67,0.6844660194174758,0.7694529278980216,0.7760922330097088,0.5734341252699784
68,0.8203883495145631,0.8396959235161334,0.7694174757281553,0.6707034865782167
69,0.7475728155339806,0.7760921524365954,0.6729368932038835,0.7346497994446158
70,0.6067961165048543,0.7760423582525562,0.7360436893203883,0.754011107682814
71,0.825242718446602,0.7627473111140619,0.7014563106796117,0.7664301141622956
72,0.587378640776699,0.7734696587438588,0.5907160194174758,0.8317648873804382
73,0.5097087378640777,0.7796939317487717,0.7861043689320388,0.7348812095032398
74,0.5,0.7896361704952861,0.7912621359223301,0.6799598889231719
75,0.587378640776699,0.7592285221086176,0.5685679611650485,0.6981641468682506
76,0.7014563106796117,0.6987119904395167,0.841626213592233,0.8424868867633447
77,0.5194174757281553,0.8094542557429292,0.6374393203883495,0.6223387843258253
78,0.3446601941747573,0.8010390386402868,0.6692961165048544,0.6906818883060784
79,0.4223300970873787,0.7909474173416544,0.6155946601941747,0.7203023758099352
80,0.558252427184466,0.7040233700703757,0.6189320388349515,0.6698549830299292
81,0.587378640776699,0.7562408710662595,0.7827669902912622,0.7644245603208886
82,0.7087378640776699,0.7355762846899481,0.7178398058252428,0.7293273680962665
83,0.8543689320388349,0.7656519718496879,0.7530339805825244,0.712742980561555
84,0.2815533980582524,0.7733866684371264,0.6189320388349514,0.7682813946312866
85,0.3446601941747572,0.7290200504581066,0.654126213592233,0.6241129281086084
86,0.3713592233009709,0.7591123356791927,0.5691747572815533,0.6414686825053997
87,0.7233009708737864,0.8445923516133316,0.7360436893203883,0.7155199012650417
88,0.587378640776699,0.7494688620369141,0.7712378640776699,0.6286639925948782
89,0.6650485436893203,0.7579006772009029,0.7044902912621359,0.6085313174946005
90,0.4830097087378641,0.8302682246713583,0.654126213592233,0.8643937056464053
91,0.8106796116504854,0.7016498472978356,0.7621359223300971,0.6470225239123727
92,0.6893203883495146,0.7735194529278979,0.7685072815533981,0.7688213514347424
93,0.4174757281553398,0.8105165316691012,0.7876213592233009,0.7610305461277382
94,0.2572815533980582,0.7337670960031868,0.6074029126213593,0.7862542425177415
95,0.5679611650485437,0.7649714513344841,0.6814320388349515,0.755708114779389
96,0.6407766990291262,0.7168370734298235,0.7688106796116505,0.7064177722925024
97,0.366504854368932,0.7803412561412827,0.6947815533980582,0.5540728170317804
98,0.5703883495145631,0.7287544814765635,0.6735436893203884,0.699166923788954
99,0.7572815533980582,0.8020515203824192,0.6077063106796117,0.5739740820734341
100,0.8737864077669902,0.8374385871730181,0.7214805825242718,0.7354983029929034
101,0.6067961165048543,0.8378203425839862,0.8149271844660194,0.7593335390311633
102,0.8106796116504855,0.7882917275262249,0.8128033980582524,0.7134372107374267
