,site2,site3,site6,site8
42,0.6699999999999999,0.7233058135534916,0.759581881533101,0.5905484649879269
43,0.7250000000000001,0.7959580323357413,0.7888501742160278,0.7168851328044153
44,0.6549999999999999,0.7499999999999998,0.8108013937282229,0.8000172473266643
45,0.55,0.7562091503267974,0.402787456445993,0.6989479130734736
46,0.8850000000000001,0.779188166494668,0.7832752613240418,0.6390996895481199
47,0.73,0.7282249742002064,0.7749128919860627,0.7769920662297344
48,0.35,0.7737530099759201,0.673170731707317,0.6597964815453605
49,0.945,0.7634674922600619,0.554006968641115,0.6247844084166954
50,0.3999999999999999,0.7770037839697282,0.7763066202090592,0.7485339772335288
51,0.5625,0.8115411076711386,0.5930313588850173,0.6763539151431528
52,0.43,0.7817853457172343,0.8996515679442508,0.579510175922732
53,0.815,0.7849501203990369,0.729616724738676,0.7042083477061056
54,0.865,0.7699174406604747,0.5742160278745645,0.6942048982407727
55,0.49,0.7627106983144136,0.6616724738675959,0.7312004139358399
56,0.35,0.7315101479188166,0.8480836236933798,0.6759227319765436
57,0.51,0.791623667010664,0.6954703832752612,0.7141255605381166
58,0.51,0.7325077399380805,0.6940766550522648,0.5008623663332183
59,0.615,0.7502923976608187,0.7038327526132404,0.7036046912728527
60,0.44,0.7799277605779154,0.8790940766550522,0.6190065539841324
61,0.965,0.7199174406604747,0.6101045296167247,0.7393928941014144
62,0.615,0.7830581355349158,0.786759581881533,0.6230596757502587
63,0.6,0.8060887512899897,0.7184668989547038,0.7850983097619869
64,0.5700000000000001,0.8121431028551771,0.6554006968641115,0.7574163504656778
65,0.525,0.729514963880289,0.7790940766550524,0.693515005174198
66,0.69,0.7927588579291365,0.7247386759581881,0.7560365643325285
67,0.67,0.7243894048847611,0.7853658536585366,0.7228354605036219
68,0.63,0.7936360509115926,0.7602787456445993,0.6738530527768196
69,0.4599999999999999,0.768971448228414,0.7114982578397213,0.8071748878923768
70,0.43,0.7745786033711731,0.6682926829268293,0.608226974818903
71,0.81,0.761936704506364,0.7080139372822299,0.6681614349775785
72,0.25,0.8039559683522531,0.624390243902439,0.6401345291479821
73,0.5349999999999999,0.7804265565875474,0.7930313588850174,0.7159365298378751
74,0.295,0.763484692122463,0.6519163763066202,0.4908589168678854
75,0.84,0.7701754385964912,0.7174216027874564,0.5619179027250776
76,0.595,0.7058479532163743,0.7059233449477351,0.7207657813038979
77,0.695,0.7774509803921568,0.6090592334494773,0.8191617799241117
78,0.69,0.7837289301685586,0.5236933797909408,0.7075715764056572
79,0.46,0.6639490884072927,0.6543554006968642,0.7387892376681615
80,0.84,0.8038355693154456,0.7219512195121952,0.6413418420144877
81,0.725,0.756501547987616,0.670383275261324,0.5948602966540186
82,0.6799999999999999,0.8145854833161335,0.6261324041811848,0.5127630217316316
83,0.69,0.7949088407292743,0.6759581881533101,0.6694549844774061
84,0.59,0.7677158582731338,0.6285714285714286,0.8505519144532598
85,0.625,0.7426040591675267,0.654355400696864,0.7480165574335979
86,0.5549999999999999,0.7303577571379429,0.6794425087108014,0.7911348740945154
87,0.805,0.7517543859649123,0.6864111498257839,0.7872542255950328
88,0.725,0.8147746818025456,0.8362369337979094,0.6436702311141774
89,0.44,0.7674922600619196,0.6878048780487804,0.7268885822697482
90,0.575,0.7627450980392156,0.673170731707317,0.6035701966195239
91,0.835,0.7370141038871688,0.68397212543554,0.8565884787857881
92,0.185,0.7749226006191949,0.7801393728222996,0.7056743704725769
93,0.965,0.8358961128310973,0.7735191637630662,0.6867885477750949
94,0.21,0.7715170278637773,0.7163763066202091,0.6740255260434632
95,0.3949999999999999,0.7692122463020296,0.6418118466898954,0.75
96,0.61,0.7998624011007912,0.7087108013937282,0.7720765781303898
97,0.37,0.7501031991744066,0.7519163763066202,0.7159365298378751
98,0.425,0.8123839009287928,0.7198606271777003,0.6393583994480857
99,0.785,0.674922600619195,0.7400696864111499,0.7678509830976199
100,0.5700000000000001,0.7772789817681458,0.8418118466898954,0.7248189030700242
101,0.835,0.7077055383556933,0.5714285714285714,0.6555708865125907
102,0.305,0.7854145166838666,0.7066202090592335,0.7724215246636771
