,site6
42,0.7951219512195122
43,0.7770034843205575
44,0.7912891986062718
45,0.5282229965156795
46,0.791637630662021
47,0.7839721254355401
48,0.6850174216027876
49,0.6160278745644598
50,0.7958188153310104
51,0.594425087108014
52,0.8905923344947735
53,0.7672473867595818
54,0.6062717770034843
55,0.6337979094076654
56,0.8369337979094076
57,0.6829268292682926
58,0.7344947735191638
59,0.6759581881533101
60,0.8790940766550523
61,0.6094076655052265
62,0.7742160278745644
63,0.729616724738676
64,0.6421602787456446
65,0.7707317073170732
66,0.7108013937282229
67,0.7066202090592334
68,0.7749128919860627
69,0.732404181184669
70,0.5595818815331011
71,0.7721254355400697
72,0.6362369337979095
73,0.8247386759581882
74,0.6219512195121951
75,0.7296167247386759
76,0.6940766550522648
77,0.5581881533101045
78,0.5947735191637631
79,0.6787456445993032
80,0.732404181184669
81,0.6439024390243903
82,0.6533101045296167
83,0.7184668989547038
84,0.6947735191637632
85,0.6257839721254356
86,0.6550522648083624
87,0.7609756097560976
88,0.8083623693379791
89,0.7365853658536585
90,0.6550522648083623
91,0.7473867595818816
92,0.8017421602787457
93,0.7881533101045296
94,0.7574912891986063
95,0.6376306620209059
96,0.6926829268292682
97,0.7735191637630662
98,0.7756097560975609
99,0.6689895470383276
100,0.8641114982578397
101,0.5184668989547039
102,0.6536585365853659
