,site11_(1-4/0),site11_(1-4/5-4),site11_(1-3/5-4),site11_(1-3/0),site11_(1-2/5-4)
42,0.7886524822695036,0.7872340425531915,0.7460992907801418,0.7531914893617022,
43,0.7900709219858156,0.7914893617021277,0.5687943262411348,0.5815602836879433,
44,0.7787234042553193,0.7787234042553193,0.4524822695035461,0.4340425531914894,
45,0.778723404255319,0.7758865248226952,0.7304964539007093,0.7319148936170212,
46,0.625531914893617,0.624113475177305,0.521985815602837,0.526241134751773,
47,0.7673758865248228,0.7673758865248228,0.7943262411347518,0.7929078014184396,
48,0.8964539007092198,0.8964539007092198,0.8042553191489361,0.8156028368794327,
49,0.6907801418439716,0.6907801418439716,0.6028368794326241,0.5971631205673759,
50,0.8226950354609929,0.8226950354609929,0.6652482269503546,0.601418439716312,
51,0.8127659574468085,0.8127659574468085,0.6411347517730497,0.6411347517730497,
52,0.8439716312056738,0.8439716312056738,0.7432624113475177,0.7858156028368795,
53,0.7418439716312057,0.7418439716312057,0.7148936170212766,0.7702127659574469,
54,0.7673758865248227,0.7687943262411348,0.7319148936170212,0.7546099290780142,
55,0.5404255319148936,0.5418439716312057,0.6964539007092199,0.6156028368794326,
56,0.7971631205673759,0.7971631205673759,0.7163120567375887,0.7404255319148936,
57,0.7049645390070923,0.7049645390070923,0.723404255319149,0.723404255319149,
58,0.900709219858156,0.900709219858156,0.7035460992907802,0.7092198581560284,
59,0.7531914893617022,0.7531914893617022,0.5475177304964539,0.5673758865248227,
60,0.4851063829787234,0.4851063829787234,0.4368794326241134,0.4283687943262411,
61,0.7971631205673759,0.7971631205673759,0.7120567375886525,0.7191489361702128,
62,0.7290780141843972,0.7290780141843972,0.4382978723404255,0.425531914893617,
63,0.9602836879432624,0.9602836879432624,0.875177304964539,0.8723404255319149,
64,0.699290780141844,0.700709219858156,0.774468085106383,0.7560283687943262,
65,0.6794326241134752,0.6794326241134752,0.5574468085106383,0.5687943262411348,
66,0.6737588652482269,0.6737588652482269,0.6028368794326241,0.6156028368794326,
67,0.801418439716312,0.801418439716312,0.7134751773049646,0.724822695035461,
68,0.775886524822695,0.774468085106383,0.7617021276595745,0.7617021276595745,
69,0.8085106382978724,0.8085106382978724,0.6,0.6212765957446809,
70,0.8851063829787233,0.8851063829787233,0.849645390070922,0.8567375886524823,
71,0.7588652482269503,0.7588652482269503,0.5390070921985816,0.5276595744680851,
72,0.7390070921985815,0.7390070921985815,0.7617021276595746,0.7617021276595746,
73,0.75177304964539,0.75177304964539,0.6382978723404256,0.6340425531914894,
74,0.7489361702127659,0.7489361702127659,0.8,0.7276595744680852,
75,0.7929078014184398,0.7929078014184398,0.675177304964539,0.6794326241134753,
76,0.7659574468085106,0.7659574468085106,0.748936170212766,0.7106382978723405,
77,0.7304964539007093,0.7304964539007093,0.6751773049645391,0.6595744680851064,
78,0.6893617021276596,0.6893617021276596,0.6638297872340426,0.6695035460992909,
79,0.7843971631205674,0.7843971631205674,0.6312056737588653,0.6212765957446809,
80,0.7021276595744681,0.700709219858156,0.7219858156028369,0.7219858156028369,
81,0.8808510638297873,0.8808510638297873,0.6283687943262412,0.625531914893617,
82,0.8411347517730496,0.8397163120567376,0.8368794326241134,0.8368794326241134,
83,0.7120567375886525,0.7134751773049646,0.6865248226950356,0.7106382978723405,
84,0.7531914893617022,0.7531914893617022,0.5886524822695036,0.6028368794326242,
85,0.6170212765957447,0.6170212765957447,0.6085106382978723,0.5914893617021277,
86,0.8241134751773049,0.822695035460993,0.6680851063829787,0.6425531914893617,
87,0.7092198581560284,0.7063829787234043,0.6964539007092199,0.723404255319149,
88,0.6964539007092199,0.6950354609929077,0.7390070921985816,0.7404255319148936,
89,0.6042553191489362,0.6042553191489362,0.4921985815602837,0.4893617021276596,
90,0.7319148936170213,0.7319148936170213,0.771631205673759,0.775886524822695,
91,0.6737588652482269,0.6737588652482269,0.5021276595744681,0.4851063829787234,
92,0.7588652482269505,0.7588652482269505,0.672340425531915,0.6794326241134752,
93,0.773049645390071,0.773049645390071,0.7957446808510638,0.7290780141843971,
94,0.826950354609929,0.826950354609929,0.7063829787234043,0.7219858156028369,
95,0.875177304964539,0.875177304964539,0.7943262411347518,0.7943262411347518,
96,0.6780141843971631,0.6794326241134752,0.5134751773049646,0.5361702127659576,
97,0.6907801418439716,0.6907801418439716,0.4765957446808511,0.4737588652482269,
98,0.6411347517730497,0.6411347517730497,0.7276595744680852,0.7276595744680852,
99,0.7390070921985816,0.7390070921985816,0.7049645390070922,0.6780141843971631,
100,0.8595744680851063,0.8595744680851063,0.7063829787234043,0.7063829787234043,
101,0.5971631205673759,0.5971631205673759,0.3645390070921986,0.3588652482269504,
102,0.7702127659574468,0.7702127659574468,0.5517730496453901,0.5432624113475177,
