,site2,site3,site6,site8,site9,site10,site11,site12
"(0.001,0.0005)",0.5162795992714024,0.6562699684910983,0.6071668768390079,0.5688306143320989,0.5765001076098538,0.6868641610879765,0.6326938728054877,0.5685245901639344
"(0.0001,0.0005)",0.5127504553734062,0.7466198164551385,0.6980874316939892,0.6630176114492625,0.6871807793053126,0.7238176930338651,0.7148703639111731,0.664590163934426
"(0.001,0)",0.5170765027322404,0.6478356909924202,0.598192517864649,0.579292894188983,0.5869461373311706,0.6856433982969221,0.6290198814091384,0.56
"(0.0001,0)",0.4941939890710383,0.7034720386039132,0.6773854560739808,0.6248357511427088,0.6152029101903908,0.7122833415596052,0.6905476107429369,0.6570491803278689
