,site2,site3,site6,site8,site9,site10,site11,site12,std,weighted average
"(0.001,0.0005)",0.7200591985428051,0.6487962442711088,0.6225514922236234,0.61702131180639,0.6397274583602359,0.6657721594203593,0.6641785838855947,0.4039344262295082,0.09404867068812739,0.6404001435405147
"(0.0001,0.0005)",0.7177823315118397,0.7503904184294026,0.7382934005884826,0.7087292682361741,0.7507283349868505,0.7131554861247551,0.750935937681665,0.49540983606557376,0.08578646416145451,0.7303575031790571
"(0.001,0)",0.7221083788706739,0.6498339172395556,0.6229928541403952,0.6176932013384834,0.6390922977590904,0.6671881963379512,0.661946285315661,0.4022950819672131,0.09487558356617547,0.6408938509801478
"(0.0001,0)",0.7182377049180327,0.7504172726070862,0.7383354350567465,0.7087921544485376,0.7507335842480171,0.713174654137176,0.7510522032321824,0.49606557377049176,0.08558590592076432,0.7304205243750362
