,site2,site3,site6,site8,site9,site10,site11,site12
Federated Learning (average),0.6446948998178504,0.7659820228494624,0.7314627994955863,0.7317522415624907,0.7267838301759026,0.7259177883947269,0.7292407859551214,0.7649180327868852
Localized Learning,0.4992030965391621,0.7441289193328046,0.6755149222362338,0.6769336682851591,0.7081489530348604,0.7360145389374211,0.6594349494244856,0.6547540983606557
Transfer Learning (average),0.5560109289617486,0.7611103995901639,0.7020596889449349,0.717692208398288,0.7182012881686902,0.7484737470109881,0.6897104987792118,0.8222950819672129
Centralized Learning,0.6569899817850638,0.7669226076370527,0.7024800336275747,0.7266584583610527,0.7545786680524716,0.7511560707491337,0.7278455993489129,0.7508196721311474
