,site2,site3,site6,site8,site9,site10,site11,site12,std,weighted average
"(0.001,0.0005)",0.5436020036429874,0.760564020359598,0.7224464060529633,0.7090205306934363,0.7544238148480602,0.7481371087928465,0.7391001046389953,0.7249180327868852,0.0705453169207386,0.7371279546537703
"(0.0001,0.0005)",0.6128187613843352,0.7465881422968446,0.7200084068936526,0.7225708545574301,0.7445158343963086,0.7086198551856662,0.6970817346820136,0.7898360655737705,0.05112155207901093,0.7282568774636475
"(0.001,0)",0.5421220400728598,0.7588016288780187,0.7027532576712905,0.7035825282243249,0.7546469084476358,0.7468480599575431,0.7212184629694222,0.7373770491803276,0.07057396049718519,0.7331520641545302
"(0.0001,0)",0.636384335154827,0.7586807850784417,0.7225094577553595,0.719297461713881,0.7501824118255356,0.7289571163642112,0.727310777816533,0.7222950819672129,0.03691796278629068,0.7369922624331215
