,site6
42,0.76336454243431
43,0.6976744186046511
44,0.719420114768952
45,0.6790999697976443
46,0.6171851404409545
47,0.6340984596798551
48,0.8355481727574752
49,0.7576260948353972
50,0.7237994563575959
51,0.7543038356991846
52,0.6899728178797947
53,0.8639383871942012
54,0.6857444880700694
55,0.7524916943521596
56,0.5560253699788584
57,0.6185442464512233
58,0.7964361220175175
59,0.7456961643008154
60,0.494412564180006
61,0.6914829356689821
62,0.813349441256418
63,0.6878586529749321
64,0.6963153125943824
65,0.7822410147991543
66,0.7829960736937482
67,0.7025067955300516
68,0.7982482633645425
69,0.6599214738749622
70,0.6683781334944127
71,0.7745394140742978
72,0.6578073089700996
73,0.6871035940803383
74,0.7331621866505588
75,0.7115675022651766
76,0.7848082150407732
77,0.6892177589852009
78,0.5868317728782845
79,0.6491996375717306
80,0.7502265176683781
81,0.6757777106614316
82,0.8838719420114768
83,0.6871035940803383
84,0.7620054364240411
85,0.7546058592570221
86,0.6354575656901238
87,0.5907580791301722
88,0.7795228027786167
89,0.6558441558441559
90,0.5918151615826035
91,0.7251585623678647
92,0.6045001510117789
93,0.720628209000302
94,0.6658109332527937
95,0.7484143763213531
96,0.7550588945937783
97,0.6843853820598007
98,0.7331621866505588
99,0.7541528239202658
100,0.6697372395046813
101,0.7064331017819389
102,0.7375415282392027
