,site8
42,0.8085467448318421
43,0.722693613082382
44,0.8120950323974083
45,0.734649799444616
46,0.6546590558469608
47,0.7258562172169083
48,0.7308701018204258
49,0.5900956494908979
50,0.730561555075594
51,0.740280777537797
52,0.714748534402962
53,0.7691298981795742
54,0.7550910212897255
55,0.7087318728787411
56,0.6825053995680346
57,0.6123110151187905
58,0.673711817340327
59,0.7690527614933662
60,0.8635452020981179
61,0.6904504782474544
62,0.6552761493366245
63,0.5806078370873188
64,0.6678494291885221
65,0.7712897253933972
66,0.7188367787719839
67,0.5734341252699784
68,0.6707034865782167
69,0.7346497994446158
70,0.754011107682814
71,0.7664301141622956
72,0.8317648873804382
73,0.7348812095032398
74,0.6799598889231719
75,0.6981641468682506
76,0.8424868867633447
77,0.6223387843258253
78,0.6906818883060784
79,0.7203023758099352
80,0.6698549830299292
81,0.7644245603208886
82,0.7293273680962665
83,0.712742980561555
84,0.7682813946312866
85,0.6241129281086084
86,0.6414686825053997
87,0.7155199012650417
88,0.6286639925948782
89,0.6085313174946005
90,0.8643937056464053
91,0.6470225239123727
92,0.7688213514347424
93,0.7610305461277382
94,0.7862542425177415
95,0.755708114779389
96,0.7064177722925024
97,0.5540728170317804
98,0.699166923788954
99,0.5739740820734341
100,0.7354983029929034
101,0.7593335390311633
102,0.7134372107374267
