,site3
42,0.7717960496095544
43,0.7721788393814117
44,0.7560710457816567
45,0.7772010411881793
46,0.7123870770173021
47,0.7096463022508038
48,0.7816873373143469
49,0.7707548614301026
50,0.718205481549533
51,0.7637421528096768
52,0.698162609095085
53,0.7367018833256775
54,0.6907977338845506
55,0.7443423671719491
56,0.7829428877660389
57,0.662226305313122
58,0.8112999540652274
59,0.6847343438983311
60,0.8069208390751799
61,0.733884550604808
62,0.72129842290614
63,0.7029551370387382
64,0.6820854386770786
65,0.6326136885622415
66,0.7726228755167661
67,0.6577246975960803
68,0.7315878119736643
69,0.6888531618435156
70,0.6638187107640483
71,0.751676619200735
72,0.6242994947175011
73,0.717776757005053
74,0.6737099984688409
75,0.7880875822998009
76,0.7301485224314807
77,0.7707548614301026
78,0.7488133517072423
79,0.7294441892512632
80,0.742765273311897
81,0.7798193232276833
82,0.7111927729291074
83,0.7660848262134436
84,0.7749349257387843
85,0.7181595467769101
86,0.750421068749043
87,0.7846118511713367
88,0.7542030316949931
89,0.7756698821007503
90,0.7401163680906446
91,0.6657939059868321
92,0.736089419690706
93,0.651569438064615
94,0.6265043638033991
95,0.76453835553514
96,0.7326136885622416
97,0.754356147603736
98,0.6939366100137804
99,0.8362578471903231
100,0.6695758689327821
101,0.7068902158934314
102,0.7381258612769868
