,site2
42,0.7430555555555555
43,0.3680555555555556
44,0.4930555555555556
45,0.6180555555555555
46,0.9166666666666669
47,0.5833333333333333
48,0.875
49,0.9375
50,0.7291666666666666
51,0.5694444444444444
52,0.5763888888888888
53,0.4166666666666667
54,0.5902777777777778
55,0.5902777777777778
56,0.7083333333333333
57,0.6458333333333334
58,0.5416666666666667
59,0.4861111111111111
60,0.6666666666666667
61,0.5555555555555556
62,0.6458333333333334
63,0.6041666666666666
64,0.5
65,0.548611111111111
66,0.5555555555555556
67,0.8333333333333333
68,0.3333333333333333
69,0.4513888888888889
70,0.8402777777777777
71,0.9097222222222222
72,0.7152777777777778
73,0.9375
74,0.5069444444444444
75,0.5
76,0.25
77,0.6527777777777778
78,0.8055555555555555
79,0.5416666666666667
80,0.4305555555555556
81,0.5347222222222222
82,0.625
83,0.4236111111111111
84,0.3958333333333333
85,0.8194444444444444
86,0.3333333333333333
87,0.8194444444444445
88,0.4722222222222222
89,0.9722222222222222
90,0.6111111111111112
91,0.5347222222222223
92,0.5555555555555556
93,0.4236111111111111
94,0.6458333333333334
95,0.5069444444444444
96,0.3194444444444445
97,0.2222222222222222
98,0.75
99,0.5486111111111112
100,0.8194444444444444
101,0.5555555555555556
102,0.45833333333333337
