,site6
42,0.6952149791955617
43,0.7128987517337033
44,0.7721914008321776
45,0.7510402219140083
46,0.771497919556172
47,0.8120665742024965
49,0.7281553398058253
50,0.7552011095700416
51,0.717753120665742
52,0.7662968099861304
53,0.8259361997226075
48,0.7149791955617198
54,0.7555478502080444
55,0.6435506241331485
56,0.8106796116504854
57,0.6359223300970874
58,0.6997226074895978
59,0.6574202496532594
60,0.9216366158113732
61,0.7687239944521498
62,0.848127600554785
63,0.8079056865464632
64,0.6279472954230236
65,0.7926490984743412
66,0.7531206657420251
67,0.6893203883495146
68,0.5908460471567267
69,0.7350901525658807
70,0.579750346740638
71,0.7662968099861304
72,0.6792649098474342
73,0.8945908460471568
74,0.8259361997226075
75,0.7395977808599168
76,0.7260748959778086
77,0.542995839112344
78,0.6113037447988905
79,0.7933425797503467
80,0.5898058252427185
81,0.7475728155339806
82,0.7770457697642164
83,0.7843273231622746
84,0.6504854368932038
85,0.739251040221914
86,0.6019417475728155
87,0.7350901525658807
88,0.840499306518724
89,0.7246879334257975
90,0.6761442441054092
91,0.6986823855755895
92,0.768377253814147
93,0.7961165048543689
94,0.5256588072122053
95,0.7825936199722607
96,0.6588072122052704
97,0.6095700416088766
98,0.7836338418862691
99,0.7905686546463245
100,0.8044382801664356
101,0.5180305131761442
102,0.6962552011095701
