,site2,site3,site6,site8
42,0.65,0.7151186790505676,0.7418118466898955,0.5748533977233529
43,0.645,0.7800137598899208,0.748432055749129,0.717057606071059
44,0.755,0.7223426212590299,0.6567944250871081,0.8060538116591929
45,0.49,0.7474028207774338,0.3832752613240418,0.6908416695412212
46,0.74,0.7758685930512557,0.7770034843205575,0.6560020696791997
47,0.545,0.7327141382868937,0.7121951219512195,0.7612969989651605
48,0.47,0.7731510147918816,0.7073170731707318,0.613056226284926
49,0.59,0.7729102167182663,0.6000000000000001,0.5973611590203518
50,0.505,0.7547471620227038,0.735191637630662,0.7409451535012074
51,0.3475,0.8377192982456141,0.6299651567944251,0.6641083132114521
52,0.33,0.7798245614035089,0.8675958188153311,0.5943428768540876
53,0.575,0.76671826625387,0.7031358885017421,0.702311141773025
54,0.61,0.7470760233918129,0.6202090592334495,0.6873059675750258
55,0.4649999999999999,0.764499484004128,0.6285714285714287,0.7664711969644705
56,0.485,0.718266253869969,0.6543554006968642,0.7005864091065885
57,0.4649999999999999,0.79250085999312,0.7073170731707317,0.6946360814073819
58,0.42,0.7335569315445476,0.659233449477352,0.566402207657813
59,0.515,0.747781217750258,0.7031358885017422,0.7301655743359778
60,0.515,0.7941176470588235,0.7278745644599303,0.6212487064505001
61,0.965,0.7447884416924665,0.6073170731707318,0.7404277337012763
62,0.515,0.7722050223598211,0.7317073170731707,0.6118489134184201
63,0.815,0.8033195734434124,0.6801393728222997,0.7399103139013452
64,0.65,0.8401616787065702,0.6038327526132404,0.7124008278716798
65,0.265,0.7461128310973512,0.6954703832752613,0.6774749913763367
66,0.625,0.7891640866873064,0.659233449477352,0.7375819248016557
67,0.54,0.715015479876161,0.7191637630662021,0.757847533632287
68,0.35,0.7867733058135535,0.7560975609756098,0.6365988271817867
69,0.3399999999999999,0.754437564499484,0.743554006968641,0.8104518799586063
70,0.42,0.7886308909528724,0.567247386759582,0.5911521214211797
71,0.695,0.7910216718266254,0.7212543554006969,0.632804415315626
72,0.105,0.8113175094599243,0.6299651567944251,0.6311659192825112
73,0.185,0.7805125558995528,0.7752613240418118,0.7200758882373233
74,0.325,0.7656862745098039,0.6470383275261324,0.4201448775439806
75,0.66,0.7893704850361197,0.6759581881533101,0.595722662987237
76,0.595,0.7212074303405575,0.6599303135888501,0.7166264229044498
77,0.38,0.7803233574131406,0.5031358885017422,0.8089858571921353
78,0.275,0.7631062951496388,0.5822299651567945,0.7258537426698862
79,0.65,0.64625042999656,0.6250871080139373,0.734304932735426
80,0.78,0.801031991744066,0.6794425087108015,0.6242669886167644
81,0.38,0.7454420364637083,0.5142857142857142,0.562780269058296
82,0.42,0.8012383900928793,0.6233449477351917,0.5532942393928941
83,0.75,0.7873581011351909,0.6355400696864112,0.6306484994825803
84,0.24,0.7541279669762642,0.7087108013937282,0.8055363918592617
85,0.625,0.7571207430340557,0.6306620209059234,0.7266298723697826
86,0.52,0.6967320261437909,0.7226480836236935,0.7664711969644705
87,0.405,0.734967320261438,0.716376306620209,0.7629354949982753
88,0.73,0.8005331957344342,0.7874564459930313,0.6143497757847534
89,0.28,0.749002407980736,0.7414634146341463,0.7174025526043464
90,0.535,0.7657894736842106,0.667595818815331,0.5737323214901691
91,0.545,0.7474200206398349,0.7184668989547038,0.8690065539841324
92,0.14,0.7631750945992432,0.7885017421602789,0.6932562952742325
93,0.62,0.8239766081871345,0.775609756097561,0.6414280786478095
94,0.2299999999999999,0.770485036119711,0.7749128919860627,0.6735081062435322
95,0.355,0.7770725834193327,0.6006968641114983,0.7220593308037254
96,0.63,0.793171654626763,0.6850174216027874,0.751552259399793
97,0.35,0.7544031647746818,0.7881533101045296,0.7030872714729217
98,0.4,0.813295493636051,0.6439024390243903,0.6593652983787512
99,0.255,0.6628654970760234,0.7170731707317073,0.799758537426699
100,0.5800000000000001,0.7781217750257997,0.8689895470383274,0.6763539151431528
101,0.725,0.7017887856897145,0.5233449477351917,0.6065884787857883
102,0.29,0.7945992432060542,0.6097560975609756,0.7653501207312866
