,site2
42,0.2222222222222222
43,0.2152777777777778
44,0.0763888888888889
45,0.4652777777777778
46,0.875
47,0.9722222222222222
48,0.3958333333333333
49,0.4166666666666667
50,0.625
51,0.4375
52,0.8888888888888888
53,0.5416666666666666
54,0.9583333333333331
55,0.7638888888888888
56,0.3194444444444445
57,0.9444444444444444
58,0.5277777777777778
59,0.5833333333333334
60,0.5416666666666666
61,0.5277777777777778
62,0.8194444444444444
63,0.5069444444444444
64,0.7013888888888888
65,0.9861111111111112
66,0.6111111111111112
67,0.9652777777777778
68,0.6319444444444444
69,0.4236111111111111
70,0.6805555555555555
71,0.4097222222222222
72,0.6458333333333334
73,0.4166666666666666
74,0.7847222222222221
75,0.6041666666666666
76,0.5763888888888888
77,0.9583333333333331
78,0.1736111111111111
79,0.5069444444444444
80,0.4375
81,0.4652777777777778
82,0.9375
83,0.3958333333333333
84,0.5833333333333333
85,0.2777777777777778
86,0.3888888888888888
87,0.8263888888888888
88,0.7291666666666667
89,0.5347222222222222
90,0.5694444444444444
91,0.5555555555555556
92,0.3888888888888889
93,0.2569444444444444
94,0.5208333333333334
95,0.2569444444444444
96,0.2013888888888889
97,0.625
98,0.25
99,0.2986111111111111
100,0.5138888888888888
101,0.9305555555555556
102,0.8194444444444444
