,site3
42,0.8051915322580645
43,0.7152217741935484
44,0.7930317540322581
45,0.751113071236559
46,0.8013062836021505
47,0.71864499327957
48,0.7190650201612904
49,0.7465137768817204
50,0.7914146505376345
51,0.7654359879032258
52,0.7955099126344085
53,0.7297547043010754
54,0.8165112567204301
55,0.7520791330645161
56,0.7910576276881721
57,0.7277805779569892
58,0.7434895833333334
59,0.733429939516129
60,0.6937373991935484
61,0.7380712365591398
62,0.7544522849462367
63,0.7335769489247311
64,0.7838751680107526
65,0.7844002016129032
66,0.7377352150537635
67,0.7393733198924731
68,0.7288726478494625
69,0.7487609206989246
70,0.7369581653225806
71,0.7147387432795699
72,0.6817876344086022
73,0.7143817204301075
74,0.7850512432795699
75,0.7202830981182795
76,0.7737315188172044
77,0.7563424059139785
78,0.7799269153225806
79,0.759744623655914
80,0.7826990927419355
81,0.7320648521505377
82,0.660114247311828
83,0.7649529569892473
84,0.8246597782258065
85,0.7649109543010753
86,0.7489289314516128
87,0.774403561827957
88,0.8082577284946237
89,0.7837911626344086
90,0.7731644825268816
91,0.7535072244623656
92,0.733345934139785
93,0.748130880376344
94,0.759765625
95,0.7137096774193549
96,0.851520497311828
97,0.6931703629032258
98,0.6800445228494624
99,0.7631048387096775
100,0.8097488239247311
101,0.7768607190860214
102,0.7685021841397849
