,site8
42,0.6760549162123966
43,0.7087623662426813
44,0.8187966888754291
45,0.8103169796083182
46,0.748031496062992
47,0.6931152836664647
48,0.7875025237229962
49,0.6912982031092267
50,0.7084595194831416
51,0.622551988693721
52,0.6927114879870785
53,0.6751463759337775
54,0.6727236018574602
55,0.676155865132243
56,0.7755905511811023
57,0.6937209771855442
58,0.6998788612961842
59,0.7514637593377751
60,0.6197254189380175
61,0.7096709065213003
62,0.7009892994144963
63,0.6680799515445185
64,0.6838279830405815
65,0.7479305471431456
66,0.7280436099333738
67,0.7026044821320412
68,0.6446598021401171
69,0.6583888552392491
70,0.8269735513830001
71,0.8036543508984455
72,0.7252170401776701
73,0.7217847769028872
74,0.7042196648495861
75,0.7352109832424792
76,0.712295578437311
77,0.5183727034120735
78,0.6501110438118312
79,0.5945891378962245
80,0.5915606703008278
81,0.7794266101352716
82,0.7888148596810013
83,0.7472239047042197
84,0.7699374116696951
85,0.7751867555017161
86,0.7254189380173632
87,0.7714516454673936
88,0.6690894407429839
89,0.5976176054916212
90,0.747122955784373
91,0.8078942055320009
92,0.8286896830203917
93,0.68826973551383
94,0.7666060973147587
95,0.7397536846355744
96,0.868564506359782
97,0.7974964667878055
98,0.6281041792852817
99,0.7900262467191601
100,0.6971532404603271
101,0.8208156672723602
102,0.6711084191399153
