,site2,site3,site6,site8,site9,site10,site11,site12
42,0.8819444444444444,0.7836021505376344,0.8064102564102563,0.7314758732081565,0.8120397054114634,0.7560654779304298,0.6709219858156029,0.96
43,0.5902777777777778,0.7477318548387097,0.8884615384615384,0.7792247122955784,0.6980467499199489,0.6521484945922246,0.876595744680851,0.98
44,0.6388888888888888,0.7790658602150536,0.8346153846153846,0.6300222087623661,0.6186359269932757,0.7667348728441977,0.7319148936170212,0.96
45,0.2847222222222222,0.7728074596774195,0.6628205128205128,0.6442560064607308,0.6426512968299712,0.7756503946214557,0.6836879432624113,0.32
46,0.5833333333333334,0.7786668346774194,0.8378205128205128,0.6921057944679991,0.6609029779058598,0.7743349897690733,0.726241134751773,0.96
47,0.25,0.7418304771505376,0.6846153846153846,0.7253179890975165,0.6623439000960615,0.6362905583162817,0.5687943262411347,0.96
48,0.6875,0.7506720430107529,0.908974358974359,0.7207752877044216,0.8424591738712777,0.6807950891552179,0.7999999999999999,0.96
49,0.6666666666666666,0.7498319892473118,0.7974358974358975,0.6888754290329093,0.7166186359269933,0.7827389652148495,0.5290780141843971,0.68
50,0.625,0.7143187163978495,0.6538461538461539,0.7535836866545527,0.7572846621837976,0.7229611224788074,0.7134751773049646,0.72
51,0.75,0.7777847782258064,0.7923076923076923,0.6553603876438523,0.7143772014089017,0.6798450745396083,0.7361702127659574,0.82
52,0.5069444444444444,0.7641969086021506,0.6884615384615385,0.6710074702200687,0.8354146653858469,0.7881467407190881,0.7631205673758865,0.96
53,0.7013888888888888,0.7240633400537635,0.6974358974358974,0.6184130829800121,0.7726544988792827,0.7458345513007891,0.6581560283687943,0.94
54,0.5625,0.7456107190860215,0.8262820512820512,0.7993135473450433,0.6298430995837336,0.7141186787489038,0.8851063829787233,0.7
55,0.3958333333333333,0.8026503696236559,0.6192307692307693,0.7072481324449829,0.760166506564201,0.7188687518269512,0.6950354609929078,0.7
56,0.6458333333333333,0.6991557459677419,0.6448717948717949,0.672521704017767,0.5784502081332052,0.696726103478515,0.526241134751773,0.6
57,0.4027777777777778,0.805695564516129,0.7474358974358974,0.6865536038764386,0.7329490874159461,0.7129494299912307,0.6808510638297872,0.96
58,0.6875,0.7618237567204301,0.6884615384615385,0.7393498889561881,0.7614473262888248,0.7675387313650981,0.625531914893617,1.0
59,0.7152777777777777,0.8376386088709676,0.7884615384615384,0.775691500100949,0.7140569964777458,0.7880005846243788,0.8921985815602836,0.92
60,0.5763888888888888,0.8197874663978495,0.6858974358974359,0.7831617201695942,0.6340057636887608,0.7663694826074248,0.5035460992907801,0.98
61,0.7152777777777778,0.7254914314516129,0.6256410256410256,0.7848778518069855,0.797470381043868,0.6925606547793043,0.8127659574468085,0.26
62,0.4236111111111111,0.7351520497311828,0.5512820512820513,0.7063395921663638,0.611911623439001,0.7624232680502777,0.8354609929078014,0.52
63,0.5972222222222222,0.796959005376344,0.6576923076923076,0.7509590147385424,0.8210054434838296,0.7321689564454839,0.7574468085106383,0.98
64,0.4305555555555556,0.7674311155913978,0.7551282051282051,0.8328285887341006,0.6727505603586296,0.6356328558900906,0.7546099290780142,0.96
65,0.4027777777777778,0.7805359543010753,0.4801282051282051,0.7460125176660609,0.8235670829330772,0.8173779596609179,0.6539007092198581,1.0
66,0.7222222222222222,0.7603326612903225,0.8628205128205128,0.7616596002422774,0.7963496637848223,0.7901929260450161,0.5049645390070923,0.64
67,0.4583333333333333,0.7786668346774194,0.5884615384615384,0.6950333131435493,0.7747358309317963,0.7895352236188248,0.7787234042553192,0.06
68,0.6597222222222222,0.7267515120967742,0.7679487179487179,0.6646476882697356,0.7018892090938201,0.7703156971645717,0.7446808510638298,0.7
69,0.513888888888889,0.661059307795699,0.7999999999999999,0.7739753684635574,0.8200448286903619,0.8439783688979831,0.8099290780141845,0.94
70,0.6527777777777778,0.8067246303763441,0.5269230769230769,0.7203714920250353,0.6292026897214218,0.7748465361005554,0.6921985815602837,0.7
71,0.5902777777777778,0.7826570900537636,0.7474358974358974,0.7054310518877448,0.8054755043227666,0.7833235895936861,0.6680851063829787,0.94
72,0.6736111111111112,0.7515961021505376,0.7961538461538462,0.757419745608722,0.6234390009606148,0.7763811750950015,0.5560283687943263,0.94
73,0.5972222222222222,0.7744455645161291,0.6833333333333333,0.8143549364021805,0.7007684918347742,0.7619847997661502,0.8326241134751773,0.98
74,0.3541666666666667,0.7111265120967742,0.7141025641025641,0.7274379164142942,0.6548190842138969,0.8039315989476761,0.8936170212765957,0.92
75,0.6875,0.8254788306451613,0.6698717948717948,0.739147991116495,0.7649695805315402,0.7744080678164279,0.5375886524822695,1.0
76,0.2569444444444444,0.6594632056451613,0.7807692307692308,0.7038158691701999,0.5936599423631124,0.727491961414791,0.4638297872340425,0.7
77,0.2222222222222222,0.8111559139784946,0.8,0.8309105592570161,0.6698687159782262,0.6653756211634025,0.5120567375886524,0.98
78,0.7916666666666667,0.7683551747311829,0.6974358974358974,0.678477690288714,0.6772334293948128,0.8110932475884244,0.7418439716312057,0.88
79,0.375,0.7434895833333334,0.6487179487179486,0.7130022208762367,0.5978226064681396,0.7888044431452791,0.6992907801418439,0.88
80,0.4444444444444444,0.7194640456989247,0.8692307692307693,0.7772057338986472,0.569324367595261,0.7613270973399591,0.5148936170212767,0.96
81,0.2291666666666666,0.7860593077956989,0.7153846153846154,0.691701998788613,0.6324047390329812,0.6959222449576147,0.625531914893617,0.98
82,0.4861111111111111,0.7188760080645163,0.7653846153846154,0.7334948516050878,0.8334934357989114,0.7838351359251681,0.6836879432624113,1.0
83,0.5069444444444444,0.7346270161290323,0.3666666666666667,0.7155259438724005,0.6668267691322447,0.7522654194679919,0.7106382978723405,0.86
84,0.5138888888888888,0.7645539314516128,0.7410256410256411,0.8214213607914396,0.6778738392571246,0.7291727565039462,0.8553191489361701,0.74
85,0.8055555555555556,0.7058971774193548,0.5897435897435898,0.712194629517464,0.804034582132565,0.7657848582285882,0.652482269503546,0.46
86,0.5208333333333334,0.8031754032258066,0.8653846153846154,0.717948717948718,0.771373679154659,0.6831335866705641,0.8624113475177305,0.94
87,0.5833333333333333,0.7426285282258065,0.7538461538461538,0.6876640419947506,0.8001921229586936,0.7171148786904413,0.5234042553191489,0.52
88,0.7222222222222222,0.7504410282258065,0.4871794871794871,0.7252170401776701,0.7678514249119437,0.7944314527915814,0.6453900709219857,0.84
89,0.6875,0.7843792002688171,0.5987179487179487,0.7018978396931153,0.8222862632084534,0.8190587547500731,0.5829787234042553,0.66
90,0.3958333333333333,0.7632518481182796,0.6551282051282051,0.8052695336159903,0.6292026897214218,0.7896813797135339,0.5390070921985816,1.0
91,0.6180555555555556,0.7283476142473119,0.7884615384615385,0.6161922067433878,0.7974703810438681,0.6240865244080678,0.651063829787234,0.98
92,0.5,0.7780997983870969,0.6012820512820513,0.676660609731476,0.6698687159782261,0.7546039169833382,0.8765957446808511,1.0
93,0.4652777777777778,0.8198504704301074,0.5705128205128205,0.7746820109024832,0.6243996157540826,0.7155071616486408,0.6794326241134752,0.68
94,0.625,0.7855552755376345,0.7089743589743589,0.6772663032505551,0.8059558117195005,0.7772581116632564,0.5929078014184397,0.96
95,0.5833333333333334,0.8243447580645161,0.4756410256410256,0.7163335352311729,0.6256804354787064,0.7340689856767028,0.8439716312056738,1.0
